articleFileName,citationNumCrossRef,citationSourceCrossRef,CitationNumGoogle
"2010johnson_grimm@journal of consumer psychology~communal and exchange relationship perceptions as separate constructs and their role in motivations to donate",25,"<Journal of Business Research><Journal of Destination Marketing & Management><Journal of Consumer Psychology><International Journal of Research in Marketing><Psychological Ownership and Consumer Behavior><Information Technology & People><Journal of Consumer Behaviour><Telematics and Informatics><Journal of Consumer Research><Information & Management><Managing Public Relations and Brand Image through Social Media><Journal of Services Marketing><Journal of Social Entrepreneurship><Computers in Human Behavior><International Journal of Research in Marketing><Journal of Retailing><Journal of Consumption Culture><Internet Research><Journal of Consumer Research><Computers in Human Behavior><Psychology & Marketing><Proceedings of the Institute of Industrial Engineers Asian Conference 2013><Frontiers in Psychology><Organizational Psychology Review><Journal of Consumer Research>",56
"2010krishna_elder_caldara@journal of consumer psychology~feminine to smell but masculine to touch - multisensory congruence and its effect on the aesthetic experience",100,"<Wave-Forced Sediment Erosion and Resuspension in the Yellow River Delta><Global Branding><Journal of Retailing and Consumer Services><Journal of Retailing and Consumer Services><Haptic Sensation and Consumer Behaviour><Journal of Retailing and Consumer Services><Integrated Marketing Communications, Strategies, and Tactical Operations in Sports Organizations><Multisensory Packaging><Multisensory Packaging><Multisensory Packaging><Psychology & Marketing><Journal of Management Information Systems><Journal of Sensory Studies><Journal of Retailing><Journal of Retailing><Journal of Retailing><Journal of Retailing><Journal of Retailing><Food Research International><Intelligent Multidimensional Data and Image Processing><Analytics and Data Science><Journal of Business Research><Journal of Retailing and Consumer Services><Journal of the Academy of Marketing Science><International Journal of Advertising><Journal of Environmental Psychology><Journal of Retailing and Consumer Services><European Journal of Marketing><International Journal of Management Reviews><Psychology & Marketing><Advances in Advertising Research IX><British Food Journal><Journal of Marketing Research><Promotional Strategies and New Service Opportunities in Emerging Economies><SSRN Electronic Journal><Journal of Retailing and Consumer Services><Asia Pacific Journal of Innovation and Entrepreneurship><Springer Handbook of Odor><Journal of Retailing><Recherche et Applications en Marketing (French Edition)><Recherche et Applications en Marketing (English Edition)><Journal of Consumer Marketing><Psychology & Marketing><Journal of Marketing Research><Handbook of Research on Global Fashion Management and Merchandising><International Journal of Retail & Distribution Management><Current Opinion in Psychology><Journal of Marketing Research><Journal of Marketing & Distribution><SAGE Open><Journal of Consumer Research><Chemical Senses><Journal of Consumer Psychology><Journal of Behavioral Decision Making><Food Quality and Preference><Flavour><Journal of Brand Management><Journal of Marketing><Flavour><Psychology & Marketing><Strategies in Sports Marketing><Food Quality and Preference><Journal of Consumer Research><Journal of Consumer Research><Business Horizons><Attention, Perception, & Psychophysics><Journal of Sensory Studies><Journal of Consumer Psychology><Psychology & Marketing><European Journal of Marketing><DECISION><Psychonomic Bulletin & Review><Customer Sense><SSRN Electronic Journal><Psychonomic Bulletin & Review><Journal of Retailing><Psychonomic Bulletin & Review><Journal of the Academy of Marketing Science><Journal of Consumer Psychology><Asia Pacific Journal of Marketing and Logistics><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Product & Brand Management><Journal of Foodservice Business Research><Journal of Marketing Research><Administrative Sciences><International Journal of Retail & Distribution Management><International Journal of Contemporary Hospitality Management><Journal of Services Marketing><Journal of Service Research><Journal of Consumer Marketing><Journal of Marketing Research><PeerJ><Journal of Marketing Communications><Foods><AMS Review><Psychology & Marketing><Journal of Advances in Management Research><Food Science & Nutrition>",239
"2010kumar_garg@journal of consumer psychology~aesthetic principles and cognitive emotion appraisals - how much of the beauty lies in the eye of the beholder",60,"<Grundlagen und neue Perspektiven des Luxustourismus><International Journal of Human-Computer Studies><International Journal of Advertising><Journal of Business Research><Consumer Psychology Review><Augmented Reality for Enhanced Learning Environments><Journal of Engineering Design><Applications of Neuroscience><Journal of Retailing and Consumer Services><Journal of Business Research><European Journal of Marketing><Journal of Consumer Psychology><International Marketing Review><Management Decision><Projective Processes and Neuroscience in Art and Design><SSRN Electronic Journal><Journal of Retailing and Consumer Services><Marketing Intelligence & Planning><Journal of Industrial and Production Engineering><Asia Pacific Journal of Innovation and Entrepreneurship><Design Science><International Journal of Human–Computer Interaction><Journal of Brand Management><International Journal of Industrial Ergonomics><International Journal of Hospitality Management><Journal of Business Research><Locality and Globality: Korean Journal of Social Sciences><The Design Journal><Journal of Business Research><Journal of Services Marketing><Journal of Digital Convergence><Psychology & Marketing><Journal of Marketing Research><Neuropsychologia><Journal of Product Innovation Management><Journal of Product Innovation Management><Journal of Consumer Marketing><Procedia Economics and Finance><The Korean Journal of Consumer and Advertising Psychology><Psychology & Marketing><Annals of Tourism Research><Journal of Consumer Psychology><International Journal of Management Reviews><The Korean Journal of Consumer and Advertising Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Product & Brand Management><International Journal of Tourism Research><Frontiers in Neuroscience><Journal of Marketing Management><Robotics><Journal of Marketing Communications><Quarterly Journal of Experimental Psychology><Journal of Consumer Behaviour>",121
"2010lee_cotte_noseworthy@journal of consumer psychology~the role of network centrality in the flow of consumer influence",47,"<Consumer Psychology Review><Journal of Sport Management><Journal of Sport Management><Journal of Interactive Marketing><Social Media Marketing><Journal of Business Ethics><Customer Relationship Management><Journal of Business Research><Tourism Management><Scientometrics><Journal of Business Research><Management Decision><Journal of Research in Interactive Marketing><Decision Support Systems><Public Health><Journal of Product & Brand Management><Web Information Systems Engineering – WISE 2017><Journal of Retailing and Consumer Services><Electronic Commerce Research and Applications><South Asian Journal of Global Business Research><Journal of Business Ethics><The Journal of Psychology><SSRN Electronic Journal><Mathematical Technology of Networks><Journal of Consumer Behaviour><Journal of Knowledge Management><Marketing Science><Telematics and Informatics><Journal of Consumer Marketing><Journal of Applied Sciences><Handbook of Research on Effective Advertising Strategies in the Social Media Age><Journal of Consumer Behaviour><Journal of Business Research><Journal of Business and Psychology><Journal of Business Research><Marketing Science><SSRN Electronic Journal><Journal of Retailing and Consumer Services><Journal of Business Ethics><Journal of Retailing and Consumer Services><Journal of Travel & Tourism Marketing><Customer Relationship Management><Business & Information Systems Engineering><Journal of Service Research><WIRTSCHAFTSINFORMATIK><Journal of Medical Internet Research>",103
"2010lwin_morrin_krishna@journal of consumer psychology~exploring the superadditive effects of scent and pictures on verbal recall - an extension of dual coding theory",39,"<Global Branding><Tourism Management><Haptic Sensation and Consumer Behaviour><Multisensory Packaging><Virtual Reality in Education><Handbuch Markenführung><Journal of Retailing><Back to the Future: Using Marketing Basics to Provide Customer Value><Driving Customer Appeal Through the Use of Emotional Branding><International Journal of Advertising><Journal of Brand Management><Die Store Brand><Journal of Mechanical Design><Handbuch Markenführung><British Food Journal><Springer Handbook of Odor><Journal of Marketing Research><Sensory and aroma marketing><Current Opinion in Psychology><Handbook of Research on 3-D Virtual Environments and Hypermedia for Ubiquitous Learning><Media Psychology><Journal of Behavioral Decision Making><Journal of Business Research><Consciousness and Cognition><Journal of Consumer Psychology><Journal of Product Research><Journal of Brand Management><Journal of Environmental Psychology><Journal of Consumer Behaviour><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Marketing><AMS Review><Journal of Marketing Communications><Cerebral Cortex><Journal of Marketing Research><Foods>",91
"2010madzharov_block@journal of consumer psychology~effects of product unit image on consumption of snack foods",76,"<Multisensory Packaging><Food Quality and Preference><Journal of Retailing><Journal of International Food & Agribusiness Marketing><Food Quality and Preference><Food Quality and Preference><Trends in Beverage Packaging><Journal of Retailing and Consumer Services><Journal of Consumer Psychology><Food Research International><Current Opinion in Food Science><Journal of Retailing><Journal of Retailing><International Journal of Hospitality Management><Recherche et Applications en Marketing (French Edition)><Recherche et Applications en Marketing (English Edition)><Journal of Consumer Behaviour><Journal of Consumer Psychology><Packaging Technology and Science><Food Research International><International Journal of Research in Marketing><Journal of Business Research><Food Quality and Preference><Journal of Product & Brand Management><Food Quality and Preference><Appetite><Food Quality and Preference><Current Opinion in Psychology><Marketing Letters><Appetite><Food Quality and Preference><Appetite><Journal of Marketing & Distribution><Journal of Retailing><Food Quality and Preference><Journal of Consumer Marketing><Food Quality and Preference><Journal of the Association for Consumer Research><Journal of Consumer Behaviour><Journal of Consumer Psychology><Journal of Business Research><Food Quality and Preference><Appetite><Journal of the Academy of Marketing Science><Journal of Public Policy & Marketing><The Korean Journal of Consumer and Advertising Psychology><SSRN Electronic Journal><Psychology & Marketing><, ><Eating Behaviors><Psychology & Marketing><Packaging Technology and Science><Appetite><Journal of Marketing><Journal of Marketing><Journal of Marketing><Journal of Business Research><International Journal of Research in Marketing><International Journal of Consumer Studies><Applied Economic Perspectives and Policy><AMS Review><International Journal of Pharmaceutical and Healthcare Marketing><SSRN Electronic Journal><Nutrition Reviews><Journal of Public Policy & Marketing><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Public Policy & Marketing><Marketing Letters><European Journal of Marketing><IOP Conference Series: Earth and Environmental Science><Foods><Journal of the Association for Consumer Research><Journal of Consumer Research><Marketing Letters>",123
"2010markman_loewenstein@journal of consumer psychology~structural comparison and consumer choice",23,"<Journal of Business Research><Journal of Applied Research in Memory and Cognition><International Journal of Marketing & Distribution><Journal of Cognitive Psychology><Addictive Behaviors><Journal of Business Research><Management Research Review><European Journal of Marketing><Asia Pacific Journal of Marketing and Logistics><Journal of Brand Management><Journal of Consumer Psychology><journal of consumer policy studies><International Journal of Research in Marketing><Journal of Marketing Research><Cognitive, Affective, & Behavioral Neuroscience><Journal of Consumer Research><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Marketing><Journal of Consumer Policy><Proceedings of the National Academy of Sciences>",44
"2010mcferran_dahl_fitzsimons_morales@journal of consumer psychology~might an overweight waitress make you eat more - how the body type of others is sufficient to alter our food consumption",77,"<Consumer Psychology Review><Consumer Psychology Review><Journal of Retailing and Consumer Services><Food Quality and Preference><Journal of Retailing><Journal of Retailing and Consumer Services><Future Foods><SSRN Electronic Journal><International Journal of Contemporary Hospitality Management><Journal of Services Marketing><Journal of Behavioral Decision Making><Journal of Retailing><Journal of Retailing and Consumer Services><Journal of Consumer Research><Food Quality and Preference><International Journal of Hospitality Management><SSRN Electronic Journal><SSRN Electronic Journal><International Journal of Behavioral Nutrition and Physical Activity><Psychological Ownership and Consumer Behavior><Social Cognition><SAGE Open><Appetite><Journal of Marketing Research><Appetite><Environment and Behavior><Appetite><SSRN Electronic Journal><Journal of Consumer Behaviour><Journal of Consumer Psychology><Appetite><Journal of Public Policy & Marketing><Current Opinion in Psychology><Appetite><Health Communication><Social Marketing Quarterly><SSRN Electronic Journal><Journal of Consumer Behaviour><Journal of Consumer Psychology><Journal of Consumer Psychology><Appetite><Journal of Marketing Research><European Journal of Marketing><Appetite><Appetite><Appetite><Journal of the Academy of Marketing Science><BMC Public Health><SSRN Electronic Journal><Psychology & Marketing><Appetite><, ><Journal of Consumer Research><SSRN Electronic Journal><Journal of Consumer Psychology><Organizational Behavior and Human Decision Processes><Journal of Organizational Change Management><Journal of Marketing><Statistics in Medicine><Appetite><International Journal of Hospitality Management><Journal of Consumer Psychology><Journal of Consumer Psychology><Obesity Reviews><Nutrition Reviews><Social Networks><Journal of Consumer Research><SSRN Electronic Journal><SSRN Electronic Journal><Journal of the Association for Consumer Research><Journal of Marketing Communications><Marketing Science><Frontiers in Psychology><Journal of the Association for Consumer Research><Macroeconomic Dynamics><Marketing Science>",111
"2010mcferran_dahl_gorn_honea@journal of consumer psychology~motivational determinants of transportation into marketing narratives",20,"<Industrial Marketing Management><Journal of Consumer Psychology><SSRN Electronic Journal><Journal of Global Scholars of Marketing Science><European Journal of Marketing><Scientific Study of Literature><Telematics and Informatics><Science Communication><European Journal of Marketing><Journal of Hospitality and Tourism Technology><Journal of Consumer Psychology><Journal of Japan Society of Civil Engineers, Ser. D3 (Infrastructure Planning and Management)><International Journal of Advertising><Journal of Japan Society of Civil Engineers, Ser. D3 (Infrastructure Planning and Management)><Kommunikation in Change und Risk><Journal of Media Psychology><Journal of Advertising><Wiley International Encyclopedia of Marketing><Frontiers in Neuroscience><Journal of Consumer Psychology>",39
"2010meyers‐levy_zhu@journal of consumer psychology~gender differences in the meanings consumers infer from music and other aesthetic stimuli",31,"<Journal of Retailing and Consumer Services><Journal of Consumer Psychology><Journal of Retailing><Sport Management Review><Journal of the Academy of Marketing Science><Color Research & Application><Journal of Business Research><Journal of Services Marketing><Journal of Marketing Communications><Current Opinion in Psychology><The Design Journal><Psychology & Marketing><Journal of Marketing Communications><Journal of Education for Business><International Journal of Research in Marketing><Journal of Consumer Psychology><Psychology of Music><Journal of Retailing and Consumer Services><Psychology & Marketing><Journal of Consumer Psychology><Psychology & Marketing><Seoul Journal of Business><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><PLoS ONE><Frontiers in Psychology><International Journal of Hospitality & Tourism Administration>",61
"2010nielsen_escalas@journal of consumer psychology~easier is not always better - the moderating role of processing type on preference fluency",39,"<Decision Support Systems><Psychology & Marketing><Journal of Business Research><SSRN Electronic Journal><The Gerontologist><Journal of Global Scholars of Marketing Science><Journal of Interactive Marketing><Journal of Research in Interactive Marketing><Journal of Business Research><BMC Research Notes><International Journal of Contemporary Hospitality Management><Electronic Commerce Research><Journal of Consumer Psychology><Journal of Advertising><Current Opinion in Psychology><Journal of Public Policy & Marketing><Information & Management><Marketing Letters><SSRN Electronic Journal><Journal of Services Marketing><European Journal of Marketing><SSRN Electronic Journal><Journal of Consumer Behaviour><Computers in Human Behavior><Journal of Consumer Research><International Journal of Hospitality Management><Journal of Consumer Research><Motivation and Emotion><Journal of Consumer Research><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Nonprofit & Public Sector Marketing><Journal of Advertising><Journal of Marketing><Media Psychology><Journal of Consumer Research><PLOS ONE><Journal of the Association for Consumer Research><Journal of Current Issues & Research in Advertising>",62
"2010pandelaere_millet_bergh@journal of consumer psychology~madonna or don mclean - the effect of order of exposure on relative liking",21,"<Journal of Retailing and Consumer Services><International Journal of Electronic Commerce><Perception><Journal of Economic Psychology><European Journal of Marketing><SSRN Electronic Journal><Journal of Marketing Research><Journal of New Music Research><Psychology & Marketing><Journal of Consumer Research><Public Opinion Quarterly><Journal of Consumer Psychology><Psychology & Marketing><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><PLoS ONE><Sustainability><Journal of Product & Brand Management><Perception>",32
"2010posavac_herzenstein_kardes_sundaram@journal of consumer psychology~profits and halos - the role of firm profitability information in consumer inference",10,"<Journal of Operations Management><SSRN Electronic Journal><International Journal of Advertising><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Consumer Research><Journal of Consumer Psychology><Marketing Letters><Journal of Consumer Research>",13
"2010priester@journal of consumer psychology~the use of structural equation models in consumer psychology - a methodological dialogue on its contributions, cautions, and concerns",4,"<Journal of Marketing Communications><Asia Pacific Journal of Marketing and Logistics><SpringerPlus><Journal of Consumer Psychology>",13
"2010puligadda_grewal_rangaswamy_kardes@journal of consumer psychology~the role of idiosyncratic attribute evaluation in mass customization",6,"<SSRN Electronic Journal><Psychology & Marketing><Electronic Commerce Research and Applications><SSRN Electronic Journal><Annals of Operations Research><Journal of Consumer Research>",15
"2010reimann_zaichkowsky_neuhaus_bender_weber@journal of consumer psychology~aesthetic package design - a behavioral, neural, and psychological investigation",155,"<Journal of Retailing and Consumer Services><Information Systems and Neuroscience><Organizational Neuroethics><Journal of Consumer Psychology><Journal of Retailing and Consumer Services><International Journal of Hospitality Management><Organizational Research Methods><International Journal of Hospitality Management><Multisensory Packaging><Multisensory Packaging><Multisensory Packaging><Journal of Mechanical Design><Energy Policy><Physiology & Behavior><Journal of Business Research><Appetite><Journal of Retailing and Consumer Services><Acta Psychologica><Handbuch Markenführung><Journal of Retailing and Consumer Services><Computational Intelligence and Neuroscience><Consumer Psychology Review><Psychology & Marketing><Psychology & Marketing><Design Science><Creativity and Innovation Management><International Journal of Research in Marketing><Journal of Cleaner Production><Trends in Neuroscience and Education><Psychonomic Bulletin & Review><Advances in Ergonomics in Design><European Journal of Marketing><Journal of Retailing and Consumer Services><Food Quality and Preference><European Journal of Marketing><Journal of Business Research><Safety Science><International Journal of Human–Computer Interaction><Handbuch Techniken der Kommunikation><Cross-Cultural Design. Methods, Tools, and Users><Information & Management><Methods in Consumer Research, Volume 2><Journal of Business Research><Journal of Consumer Psychology><Packaging Technology and Science><European Journal of Neuroscience><Journal of Marketing Management><Journal of Consumer Research><Journal of Business Ethics><Computers in Human Behavior><Food Quality and Preference><Journal of Marketing Research><Ethics and Neuromarketing><Journal of Consumer Research><International Journal of Hospitality Management><The Journal of High Technology Management Research><Marketing Intelligence & Planning><Journal of Business Research><Journal of Mechanical Design><SSRN Electronic Journal><Journal of Consumption Culture><Psychology & Marketing><Applied Ergonomics><Handbuch Markenführung><Perspectives on Psychological Science><Marketing Letters><Journal of Product & Brand Management><Journal of Marketing Management><International Journal of Affective Engineering><Journal of Management Information Systems><Food Quality and Preference><British Food Journal><Current Opinion in Psychology><Journal of Business Research><Marketing in and for a Sustainable Society><Food Quality and Preference><Handbuch Sozialtechniken der Kommunikation><Journal of the Association for Consumer Research><Journal of Consumer Behaviour><Journal of Marketing><Food Quality and Preference><DECISION><Food Quality and Preference><Understanding Consumer Behavior and Consumption Experience><Acta Psychologica><Journal of Product & Brand Management><Perception><Procedia Economics and Finance><IEEE Transactions on Autonomous Mental Development><Computers in Human Behavior><Ideas in Marketing: Finding the New and Polishing the Old><Design, User Experience, and Usability: Users and Interactions><Packaging Technology and Science><Journal of Product Innovation Management><Journal of Foodservice Business Research><Journal of Information Technology><Marketing Intelligence & Planning><Computing Handbook, Third Edition><Marketing Letters><Tourism Management><Journal of Business Ethics><Journal of Consumer Behaviour><Psychology & Marketing><Psychology & Marketing><Packaging Technology and Science><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Retailing and Consumer Services><Journal of Economic Psychology><Journal of Marketing><Psychology & Marketing><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Retailing><Social Psychological and Personality Science><Journal of Product & Brand Management><Marketing Letters><Journal of Consumer Behaviour><Journal of Consumer Psychology><Journal of Consumer Psychology><Cognitive Science><The Korean Journal of Consumer and Advertising Psychology><Design Thinking><Psychology & Marketing><Journal of Brand Management><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><PLoS ONE><Cogent Psychology><Cogent Psychology><Frontiers in Psychology><International Journal of Neural Systems><PLoS ONE><Frontiers in Neuroscience><Journal of Product & Brand Management><Frontiers in Psychology><Neuroethics><Journal of Consumer Marketing><Journal of Product & Brand Management><European Journal of Marketing><Current Issues in Tourism><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><Proceedings of the National Academy of Sciences><Journal of Marketing Theory and Practice><Energies><IOP Conference Series: Materials Science and Engineering>",336
"2010russo@journal of consumer psychology~understanding the effect of a numerical anchor",13,"<Journal of Consumer Psychology><Theory and Decision><Journal of Consumer Behaviour><Thinking & Reasoning><Social Psychology><Journal of Consumer Behaviour><Journal of Experimental Social Psychology><SSRN Electronic Journal><The Accounting Review><Information Systems Research><SSRN Electronic Journal><Journal of Consumer Psychology><Journal of Consumer Psychology>",19
"2010russo_chaxel@journal of consumer psychology~how persuasive messages can influence behavior without awareness",14,"<Medical Education><Language and Dialogue><Journal of Electronic Commerce in Organizations><The Journal of Strategic Information Systems><AUDITING: A Journal of Practice & Theory><Educational Psychology><Current Directions in Psychological Science><Tourism Management><Organizational Behavior and Human Decision Processes><Information Systems Research><Organizational Behavior and Human Decision Processes><Journal of Behavioral Decision Making><PLOS ONE><Electronic Commerce Research>",52
"2010saini_thota@journal of consumer psychology~the psychological underpinnings of relative thinking in price comparisons",19,"<Journal of Economic Behavior & Organization><Journal of Retailing and Consumer Services><Journal of Marketing><SSRN Electronic Journal><Technology in Society><Journal of Consumer Psychology><Journal of Vacation Marketing><Journal of Consumer Marketing><Journal of Marketing><Journal of Business Economics><Journal of Marketing Research><SSRN Electronic Journal><Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration><AMS Review><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Consumer Policy><Journal of Consumer Marketing><PLOS ONE>",33
"2010saqib_frohlich_bruning@journal of consumer psychology~the influence of involvement on the endowment effect - the moveable value function",21,"<Journal of Legal Affairs and Dispute Resolution in Engineering and Construction><Electronic Commerce Research><European Journal of Marketing><European Journal of Marketing><Information Technology & People><Journal of Business Economics><SSRN Electronic Journal><Tourism Management><SSRN Electronic Journal><Journal of Consumer Research><Journal of Behavioral and Experimental Economics><International Journal of Research in Marketing><Trends in Cognitive Sciences><Journal of Economic Psychology><Customer Needs and Solutions><SSRN Electronic Journal><Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration><Journal of Consumer Psychology><Journal of Service Research><Behaviour Research and Therapy><Sustainability>",34
"2010shen_wyer@journal of consumer psychology~the effect of past behavior on variety seeking - automatic and deliberative influences",16,"<Journal of Retailing and Consumer Services><Computers in Human Behavior><Consumer Psychology Review><Psychology & Marketing><Journal of Travel Research><Journal of Experimental Social Psychology><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Experimental Social Psychology><Journal of Consumer Research><Advances in Experimental Social Psychology Volume 46><Journal of Consumer Psychology><Psychological Inquiry><Journal of Consumer Psychology><Journal of Consumer Psychology><International Journal of Market Research>",29
"2010townsend_shu@journal of consumer psychology~when and how aesthetics influences financial decisions",41,"<Journal of Marketing><Consumer Psychology Review><International Journal of Research in Marketing><Psychonomic Bulletin & Review><Brand Gender><Computers in Human Behavior><Journal of Retailing and Consumer Services><Accounting, Auditing & Accountability Journal><Journal of Business Venturing><Journal of Consumer Research><Journal of Cleaner Production><Journal of Consumer Psychology><Journal of Consumer Research><Journal of Hospitality Marketing & Management><Journal of Marketing Research><Journal of Consumer Research><Journal of Marketing Research><Journal of Retailing and Consumer Services><Journal of Product & Brand Management><Accounting and Business Research><Marketing Letters><European Journal of Marketing><Journal of Marketing Research><European Journal of Marketing><Psychology & Marketing><Social Justice Research><Accounting, Organizations and Society><Journal of Consumer Research><Journal of Consumer Psychology><Journal of Consumer Research><SSRN Electronic Journal><SSRN Electronic Journal><The Korean Journal of Consumer and Advertising Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><Journal of the Association for Consumer Research><Global Business Review>",87
"2010venkatesh_joy_sherry_deschenes@journal of consumer psychology~the aesthetics of luxury fashion, body and identify formation",48,"<Transgenerational Marketing><Transgenerational Marketing><Journal of Marketing Communications><Journal of Business Research><International Journal of Management Reviews><Journal of Physics: Conference Series><Journal of Marketing Communications><Journal of Fashion Marketing and Management: An International Journal><Sport Management Review><Journal of Retailing and Consumer Services><European Journal of Marketing><Revolutionary Nostalgia: Retromania, Neo-Burlesque and Consumer Culture><Journal of Retailing and Consumer Services><Marketing Theory><Journal of Business Research><Journal of Marketing Management><Psychology & Marketing><Geography Compass><Sustainable Luxury Brands><Transactions of Japan Society of Kansei Engineering><Telematics and Informatics><Promotional Strategies and New Service Opportunities in Emerging Economies><Journal of Marketing Research><Transactions of Japan Society of Kansei Engineering><Journal of Global Scholars of Marketing Science><Psychology & Marketing><The Design Journal><Journal of Business Research><Journal of Services Marketing><Journal of Business Research><Arts and the Market><Understanding Consumer Behavior and Consumption Experience><Journal of Product & Brand Management><Asia-Pacific Journal of Business Administration><Fashion Branding and Consumer Behaviors><Journal of Fashion Marketing and Management: An International Journal><Luxury Fashion and Culture><Global Luxury Trends><Equality, Diversity and Inclusion: An International Journal><Journal of Consumer Policy><Journal of Database Marketing & Customer Strategy Management><Asia Pacific Journal of Marketing and Logistics><Journal of Consumer Psychology><Journal of Consumer Psychology><BAR - Brazilian Administration Review><Recherche et Applications en Marketing (English Edition)><Journal of Brand Management><Recherche et Applications en Marketing (French Edition)>",117
"2010wegener_petty_blankenship_detweiler‐bedell@journal of consumer psychology~elaboration and numerical anchoring - breadth, depth, and the role of (non-)thoughtful processes in anchoring theories",16,"<International Journal of Wine Business Research><Journal of Applied Social Psychology><Theory and Decision><Journal of Experimental Social Psychology><The Journal of Business Education><Learning and Motivation><Environmental and Resource Economics><Social Psychology><Journal of Experimental Social Psychology><SSRN Electronic Journal><The Accounting Review><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Frontiers in Education>",30
"2010wegener_petty_blankenship_detweiler‐bedell@journal of consumer psychology~elaboration and numerical anchoring - implications of attitude theories for consumer judgment and decision making",54,"<Journal of Consumer Research><Journal of Travel Research><Psychology & Marketing><Journal of Retailing><Journal of Service Research><Annual Review of Psychology><Journal of Behavioral Finance><Organizational Behavior and Human Decision Processes><Theory and Decision><Computers in Human Behavior><The Journal of Business Education><Journal of Public Budgeting, Accounting & Financial Management><The Korean Journal of Consumer and Advertising Psychology><SSRN Electronic Journal><Memory & Cognition><Regional Studies><Technological Forecasting and Social Change><Personality and Social Psychology Bulletin><Simulation & Gaming><Journal of Behavioral and Experimental Finance><Cognitive Psychology><International Journal of Information Management><Journal of Systems and Software><Journal of Brand Management><Journal of Behavioral and Experimental Economics><Social Psychology><Journal of Consumer Psychology><Social Cognition><Psychology><European Journal of Psychological Assessment><Journal of Experimental Social Psychology><Thinking & Reasoning><SSRN Electronic Journal><SSRN Electronic Journal><Journal of Marketing><Organizational Behavior and Human Decision Processes><The Accounting Review><European Journal of Social Psychology><Journal of Consumer Psychology><Journal of Economic Psychology><Journal of Consumer Research><The Journal of Socio-Economics><Psychological Science><한국심리학회지: 사회및성격><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Journal of Consumer Psychology><Frontiers in Psychology><International Journal of Sustainable Transportation><Journal of Decision Systems><İşletme Ekonomi ve Yönetim Araştırmaları Dergisi><The Journal of General Psychology><Revista de Administração Contemporânea>",110
